"","name_data","year_data","runtime_data","certificate_data","genre_data","votes_data","gross_data","star_data"
"78","Gone with the Wind",1939,238,"G","Drama, History, Romance",241957,198.68,8.2
"79","You Can't Take It with You",1938,126,"Not Rated","Comedy, Drama, Romance",19673,NA,8
"80","The Life of Emile Zola",1937,116,"Not Rated","Biography, Drama",5752,NA,7.3
"81","The Great Ziegfeld",1936,176,"Not Rated","Biography, Drama, Musical",5831,NA,6.8
"82","Mutiny on the Bounty",1935,132,"Not Rated","Adventure, Biography, Drama",17747,NA,7.8
"83","It Happened One Night",1934,105,"Not Rated","Comedy, Romance",74615,NA,8.1
"84","Cavalcade",1933,112,"Passed","Drama, Romance, War",3551,7.63,6
"85","Grand Hotel",1932,112,"Not Rated","Drama, Romance",14476,1.24,7.6
"86","Cimarron",1931,123,"Passed","Drama, Western",4286,NA,6
"87","All Quiet on the Western Front",1930,136,"Not Rated","Drama, War",50668,3.27,8.1
"88","The Broadway Melody",1929,100,"Passed","Drama, Musical, Romance",5176,2.81,6.2
"89","Sunrise",1927,94,"Not Rated","Drama, Romance",35359,NA,8.2
"90","Wings",1927,144,"PG-13","Drama, Romance, War",9069,NA,7.7
